freq[Hz];re:Trc1_S11;im:Trc1_S11;
5.692346173086543E+009;3.890631347894669E-002;-8.752637145440534E-001;
5.696348174087044E+009;-8.121639490127564E-002;-8.721026437622115E-001;
5.700350175087544E+009;-2.045578062534332E-001;-8.458918623448650E-001;
5.704352176088044E+009;-3.191876709461212E-001;-8.083079636316979E-001;
5.708354177088544E+009;-4.301782548427582E-001;-7.461313933499323E-001;
5.712356178089045E+009;-5.298972129821777E-001;-6.722061173940349E-001;
5.716358179089544E+009;-6.160310506820679E-001;-5.833699027351265E-001;
5.720360180090045E+009;-6.919984817504883E-001;-4.766917540571081E-001;
5.724362181090546E+009;-7.449969053268433E-001;-3.644007727691381E-001;
5.728364182091045E+009;-7.920292019844055E-001;-2.384731111338958E-001;
5.732366183091546E+009;-8.102021217346191E-001;-1.099223929745910E-001;
5.736368184092046E+009;-8.127563595771790E-001;2.372153433611681E-002;
5.740370185092547E+009;-7.948256731033325E-001;1.575200867893729E-001;
5.744372186093046E+009;-7.543401718139648E-001;2.883503105576363E-001;
5.748374187093547E+009;-6.928397417068481E-001;4.084419527675757E-001;
5.752376188094048E+009;-6.076251864433289E-001;5.181358791157693E-001;
5.756378189094547E+009;-5.085040926933289E-001;6.175065743025442E-001;
5.760380190095047E+009;-3.924009799957275E-001;6.947421131709295E-001;
5.764382191095548E+009;-2.662741839885712E-001;7.533959754800934E-001;
5.768384192096048E+009;-1.305692940950394E-001;7.888119684388362E-001;
5.772386193096548E+009;7.900342345237732E-003;8.023391689166634E-001;
5.776388194097049E+009;1.443846970796585E-001;7.873889121102452E-001;
5.780390195097549E+009;2.782484889030457E-001;7.542464213667988E-001;
5.784392196098049E+009;3.982414901256561E-001;6.960920748566446E-001;
5.788394197098549E+009;5.121613144874573E-001;6.254426346949326E-001;
5.792396198099050E+009;6.079084873199463E-001;5.350990184931084E-001;
5.796398199099550E+009;6.856425404548645E-001;4.273230348680327E-001;
5.800400200100050E+009;7.473329305648804E-001;3.151760612861956E-001;
5.804402201100551E+009;7.874979376792908E-001;1.994379896762977E-001;
5.808404202101050E+009;8.090950846672058E-001;7.365108060020872E-002;
5.812406203101551E+009;8.108389377593994E-001;-4.847025283480452E-002;
5.816408204102051E+009;8.016768097877502E-001;-1.673886119070630E-001;
5.820410205102552E+009;7.683314681053162E-001;-2.802074263556182E-001;
5.824412206103051E+009;7.223625779151917E-001;-3.937817567203457E-001;
5.828414207103552E+009;6.614788174629211E-001;-4.941207546622598E-001;
5.832416208104052E+009;5.904420018196106E-001;-5.838824108051395E-001;
5.836418209104552E+009;5.012926459312439E-001;-6.679057201270079E-001;
5.840420210105053E+009;4.079211056232452E-001;-7.321144989446053E-001;
5.844422211105553E+009;3.028628230094910E-001;-7.880004172374450E-001;
5.848424212106053E+009;1.908124685287476E-001;-8.277191588248509E-001;
5.852426213106553E+009;7.303515076637268E-002;-8.509247448897601E-001;
5.856428214107054E+009;-4.462828859686852E-002;-8.561560342837652E-001;
5.860430215107554E+009;-1.624654829502106E-001;-8.474482281568816E-001;
5.864432216108054E+009;-2.830815911293030E-001;-8.211773384879852E-001;
5.868434217108554E+009;-3.985327482223511E-001;-7.719864424036688E-001;
5.872436218109055E+009;-5.068408846855164E-001;-7.093480031522123E-001;
5.876438219109554E+009;-6.039203405380249E-001;-6.313214639369802E-001;
5.880440220110055E+009;-6.918886899948120E-001;-5.324758905603431E-001;
